"PRODUCTNUMBER";"PRODUCTVARIANTNUMBER";"Marca";"Clase";"Tipo de Producto";"Categoria";"PRODUCTDESCRIPTION";"VENDORORGANIZATIONNAME"
PU195647-07;PU195647-07_9_1;Puma;Calzado;Zapatillas;Kids;Zapatillas Puma Comet 2 Alt V;PUMA SPORTS ARGENTINA S.A.
PU195669-46;PU195669-46_12_1;Puma;Calzado;Zapatillas;Kids;Zapatillas Puma Flyer Runner;PUMA SPORTS ARGENTINA S.A.
PU195647-01;PU195647-01_9_1;Puma;Calzado;Zapatillas;Kids;Zapatillas Puma Comet 2 Alt V;PUMA SPORTS ARGENTINA S.A.
PU195646-06;PU195646-06_13_1;Puma;Calzado;Zapatillas;Kids;Zapatillas Puma Comet 2 Alt V;PUMA SPORTS ARGENTINA S.A.
PU195646-08;PU195646-08_1.5_1;Puma;Calzado;Zapatillas;Kids;Zapatillas Puma Comet 2 Alt V;PUMA SPORTS ARGENTINA S.A.
PU307073-01;PU307073-01_10.5_1;Puma;Calzado;Zapatillas;Motorsport;El reconocimiento y la gran trayectoria de la escudería Ferrari respalda e inspira las Zapatillas Puma Ferrari R-Cat Machina su construcción en materiales sintéticos te da mayor durabilidad y resistencia ajustándose fácilmente a tu pie. Incluye los icóni;PUMA SPORTS ARGENTINA S.A.
PU307072-07;PU307072-07_9_1;Puma;Calzado;Zapatillas;Motorsport;Zapatillas Puma Ferrari Electron E;PUMA SPORTS ARGENTINA S.A.
PU307502-01;PU307502-01_6.5_1;Puma;Calzado;Zapatillas;Motorsport;;PUMA SPORTS ARGENTINA S.A.
PU308001-01;PU308001-01_9_1;Puma;Calzado;Zapatillas;Motorsport;Zapatillas Puma Mapf1;PUMA SPORTS ARGENTINA S.A.
PU308003-01;PU308003-01_9_1;Puma;Calzado;Zapatillas;Motorsport;Zapatillas Puma Pl Trinity;PUMA SPORTS ARGENTINA S.A.
PU308001-02;PU308001-02_8_1;Puma;Calzado;Zapatillas;Moda;Zapatillas Puma Mapf1;PUMA SPORTS ARGENTINA S.A.
PU368727-30;PU368727-30_12_1;Puma;Calzado;Zapatillas;Kids;;PUMA SPORTS ARGENTINA S.A.
PU375131-03;PU375131-03_5_1;Puma;Calzado;Zapatillas;Moda;Zapatillas Puma Muse;PUMA SPORTS ARGENTINA S.A.
PU376491-01;PU376491-01_9_1;Puma;Calzado;Zapatillas;Running;Las Zapatillas Puma Flyer Flex están diseñadas para los corredores más exigentes. Cuentan con una plataforma Flyer Runner propia de Puma y ranuras flexibles a lo largo de toda su base, además de un revestimiento de goma en el talón y en la puntera para b;PUMA SPORTS ARGENTINA S.A.
PU376491-01;PU376491-01_10_1;Puma;Calzado;Zapatillas;Running;Las Zapatillas Puma Flyer Flex están diseñadas para los corredores más exigentes. Cuentan con una plataforma Flyer Runner propia de Puma y ranuras flexibles a lo largo de toda su base, además de un revestimiento de goma en el talón y en la puntera para b;PUMA SPORTS ARGENTINA S.A.
PU376807-09;PU376807-09_11_1;Puma;Calzado;Zapatillas;Training;Zapatillas Puma Deviate Nitro 2;PUMA SPORTS ARGENTINA S.A.
PU376985-03;PU376985-03_9_1;Puma;Calzado;Zapatillas;Running;;PUMA SPORTS ARGENTINA S.A.
PU376855-17;PU376855-17_4.5_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Deviate Nitro 2;PUMA SPORTS ARGENTINA S.A.
PU377129-13;PU377129-13_5.5_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Flyer;PUMA SPORTS ARGENTINA S.A.
PU377143-14;PU377143-14_5_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Lex;PUMA SPORTS ARGENTINA S.A.
PU377136-29;PU377136-29_8.5_1;Puma;Calzado;Zapatillas;Training;Zapatillas Puma Disperse Xt 2;PUMA SPORTS ARGENTINA S.A.
PU377579-01;PU377579-01_12_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Softride Enzo Evo Camo;PUMA SPORTS ARGENTINA S.A.
PU377579-01;PU377579-01_4_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Softride Enzo Evo Camo;PUMA SPORTS ARGENTINA S.A.
PU377579-01;PU377579-01_5_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Softride Enzo Evo Camo;PUMA SPORTS ARGENTINA S.A.
PU377717-10;PU377717-10_4.5_1;Puma;Calzado;Zapatillas;Kids;Zapatillas Puma Resolve Street Park;PUMA SPORTS ARGENTINA S.A.
PU377736-17;PU377736-17_5.5_1;Puma;Calzado;Zapatillas;Running;Las jornadas de running ya son parte de tu vida y con las Zapatillas Puma Aviator Eng Pro tendrás todo lo necesario para que saquen lo mejor de vos. Tiene una entresuela ProFoam de EVA que amortigua las caídas y hace suave cada uno de tus pasos. Su suela;PUMA SPORTS ARGENTINA S.A.
PU377709-18;PU377709-18_5.5_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Softride Enzo Evo;PUMA SPORTS ARGENTINA S.A.
PU377891-11;PU377891-11_7_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Powerframe Tr 2;PUMA SPORTS ARGENTINA S.A.
PU377709-01;PU377709-01_11_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Softr;PUMA SPORTS ARGENTINA S.A.
PU377969-02;PU377969-02_8_1;Puma;Calzado;Zapatillas;Training;Zapatillas Puma Fuse 2.0 Tiger Camo;PUMA SPORTS ARGENTINA S.A.
PU378144-03;PU378144-03_8_1;Puma;Calzado;Zapatillas;Running;;PUMA SPORTS ARGENTINA S.A.
PU378392-01;PU378392-01_4_1;Puma;Calzado;Zapatillas;Running;;PUMA SPORTS ARGENTINA S.A.
PU378844-11;PU378844-11_8.5_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Redeem Profoam;PUMA SPORTS ARGENTINA S.A.
PU378844-11;PU378844-11_9.5_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Redeem Profoam;PUMA SPORTS ARGENTINA S.A.
PU378844-13;PU378844-13_4_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Redeem Profoam;PUMA SPORTS ARGENTINA S.A.
PU378849-08;PU378849-08_7.5_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Softride Enzo Evo Better;PUMA SPORTS ARGENTINA S.A.
PU378144-03;PU378144-03_10.5_1;Puma;Calzado;Zapatillas;Running;;PUMA SPORTS ARGENTINA S.A.
PU378844-04;PU378844-04_8_1;Puma;Calzado;Zapatillas;Training;Zapatillas Puma Redeem Profoam;PUMA SPORTS ARGENTINA S.A.
PU378844-04;PU378844-04_8.5_1;Puma;Calzado;Zapatillas;Training;Zapatillas Puma Redeem Profoam;PUMA SPORTS ARGENTINA S.A.
PU378849-08;PU378849-08_10_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Softride Enzo Evo Better;PUMA SPORTS ARGENTINA S.A.
PU378791-01;PU378791-01_4_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Pwr Xx Nitro Luxe Retro Glam;PUMA SPORTS ARGENTINA S.A.
PU378265-01;PU378265-01_8_1;Puma;Calzado;Zapatillas;Basquet;;PUMA SPORTS ARGENTINA S.A.
PU378834-03;PU378834-03_10_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Cell Vive Intake;PUMA SPORTS ARGENTINA S.A.
PU378833-04;PU378833-04_5_1;Puma;Calzado;Zapatillas;Running;;PUMA SPORTS ARGENTINA S.A.
PU378833-04;PU378833-04_5.5_1;Puma;Calzado;Zapatillas;Running;;PUMA SPORTS ARGENTINA S.A.
PU378844-13;PU378844-13_4.5_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Redeem Profoam;PUMA SPORTS ARGENTINA S.A.
PU378844-13;PU378844-13_6_1;Puma;Calzado;Zapatillas;Running;Zapatillas Puma Redeem Profoam;PUMA SPORTS ARGENTINA S.A.
PU378851-01;PU378851-01_5.5_1;Puma;Calzado;Zapatillas;Training;Zapatillas Puma Softride Enzo Evo Monarch;PUMA SPORTS ARGENTINA S.A.
