"casa";"nombre";"compra";"venta";"fecha"
oficial;Oficial;836.0;876.0;2024-03-29
oficial;Oficial;836.0;876.0;2024-03-30
oficial;Oficial;836.0;876.0;2024-03-31
oficial;Oficial;836.0;876.0;2024-03-28
oficial;Oficial;836.0;876.0;2024-03-27
oficial;Oficial;835.5;875.5;2024-03-26
oficial;Oficial;835.0;875.0;2024-03-25
oficial;Oficial;833.5;873.5;2024-03-24
oficial;Oficial;833.5;873.5;2024-03-23
oficial;Oficial;833.5;873.5;2024-03-22
oficial;Oficial;832.5;872.5;2024-03-21
oficial;Oficial;832.0;872.0;2024-03-20
oficial;Oficial;831.5;871.5;2024-03-19
oficial;Oficial;831.0;871.0;2024-03-18
oficial;Oficial;829.5;869.5;2024-03-17
oficial;Oficial;829.5;869.5;2024-03-16
oficial;Oficial;829.5;869.5;2024-03-15
oficial;Oficial;829.0;869.0;2024-03-14
oficial;Oficial;828.5;868.5;2024-03-13
oficial;Oficial;827.5;867.5;2024-03-12
oficial;Oficial;827.0;867.0;2024-03-11
oficial;Oficial;825.5;865.5;2024-03-10
oficial;Oficial;825.5;865.5;2024-03-09
oficial;Oficial;825.5;865.5;2024-03-08
oficial;Oficial;825.0;865.0;2024-03-07
oficial;Oficial;824.5;864.5;2024-03-06
oficial;Oficial;824.0;864.0;2024-03-05
oficial;Oficial;823.0;863.0;2024-03-04
oficial;Oficial;821.5;861.5;2024-03-03
oficial;Oficial;821.5;861.5;2024-03-02
oficial;Oficial;821.5;861.5;2024-03-01
oficial;Oficial;821.0;861.0;2024-02-29
oficial;Oficial;820.5;860.5;2024-02-28
oficial;Oficial;820.0;860.0;2024-02-27
oficial;Oficial;819.5;859.5;2024-02-26
oficial;Oficial;817.5;857.5;2024-02-25
oficial;Oficial;817.5;857.5;2024-02-24
oficial;Oficial;817.5;857.5;2024-02-23
oficial;Oficial;817.0;857.0;2024-02-22
oficial;Oficial;816.5;856.5;2024-02-21
oficial;Oficial;816.0;856.0;2024-02-20
oficial;Oficial;815.5;855.5;2024-02-19
oficial;Oficial;814.0;854.0;2024-02-18
oficial;Oficial;814.0;854.0;2024-02-17
oficial;Oficial;814.0;854.0;2024-02-16
oficial;Oficial;813.5;853.5;2024-02-15
oficial;Oficial;813.0;853.0;2024-02-14
oficial;Oficial;810.0;850.0;2024-02-13
oficial;Oficial;810.0;850.0;2024-02-12
oficial;Oficial;810.0;850.0;2024-02-11
oficial;Oficial;810.0;850.0;2024-02-10
oficial;Oficial;810.0;850.0;2024-02-09
oficial;Oficial;809.5;849.5;2024-02-08
oficial;Oficial;809.0;849.0;2024-02-07
oficial;Oficial;808.5;848.5;2024-02-06
oficial;Oficial;808.0;848.0;2024-02-05
oficial;Oficial;806.5;846.5;2024-02-04
oficial;Oficial;806.5;846.5;2024-02-03
oficial;Oficial;806.5;846.5;2024-02-02
oficial;Oficial;806.0;846.0;2024-02-01
oficial;Oficial;805.5;845.5;2024-01-31
oficial;Oficial;805.0;845.0;2024-01-30
oficial;Oficial;804.5;844.5;2024-01-29
oficial;Oficial;802.75;842.75;2024-01-28
oficial;Oficial;802.75;842.75;2024-01-27
oficial;Oficial;802.75;842.75;2024-01-26
oficial;Oficial;802.25;842.25;2024-01-25
oficial;Oficial;801.25;841.25;2024-01-23
oficial;Oficial;800.75;840.75;2024-01-22
oficial;Oficial;799.25;839.25;2024-01-21
oficial;Oficial;799.25;839.25;2024-01-20
oficial;Oficial;799.25;839.25;2024-01-19
oficial;Oficial;798.75;838.75;2024-01-18
oficial;Oficial;798.25;838.25;2024-01-17
oficial;Oficial;797.75;837.75;2024-01-16
oficial;Oficial;797.25;837.25;2024-01-15
oficial;Oficial;795.5;835.5;2024-01-14
oficial;Oficial;795.5;835.5;2024-01-13
oficial;Oficial;795.5;835.5;2024-01-12
oficial;Oficial;795.0;835.0;2024-01-11
oficial;Oficial;794.5;834.5;2024-01-10
oficial;Oficial;794.0;834.0;2024-01-09
oficial;Oficial;793.5;833.5;2024-01-08
oficial;Oficial;792.0;832.0;2024-01-07
oficial;Oficial;792.0;832.0;2024-01-06
oficial;Oficial;792.0;832.0;2024-01-05
oficial;Oficial;791.5;831.5;2024-01-04
oficial;Oficial;791.0;831.0;2024-01-03
oficial;Oficial;790.25;830.25;2024-01-02
oficial;Oficial;788.25;828.25;2024-01-01
