"WAREHOUSEID";"Ubicación Comercial";"prov";"primaryaddresscountyid"
"003";TIENDA A LA CALLE;BUENOS AIRES;SAN ISIDRO
"005";;;HURLINGHAM
"011";Shopping;BUENOS AIRES;MORON
"014";Shopping;BUENOS AIRES;SAN ISIDRO
"020";TIENDA A LA CALLE;CABA;CABA
"023";TIENDA A LA CALLE;BUENOS AIRES;MORENO
"028";TIENDA A LA CALLE;BUENOS AIRES;GENERAL SA
"035";TIENDA A LA CALLE;BUENOS AIRES;MERLO
"036";TIENDA A LA CALLE;CABA;CABA
"043";Shopping;BUENOS AIRES;MALVINAS A
"049";Shopping;BUENOS AIRES;AVELLANEDA
"051";TIENDA A LA CALLE;BUENOS AIRES;SAN MIGUEL
"052";TIENDA A LA CALLE;BUENOS AIRES;LOMAS DE Z
"053";Shopping;BUENOS AIRES;SAN ISIDRO
"054";TIENDA A LA CALLE;BUENOS AIRES;BERAZATEGU
"057";Shopping;BUENOS AIRES;JOSE CLEME
"058";Shopping;BUENOS AIRES;MORON
