"INVOICENUMBER";"invoicedate";"TOTALINVOICEAMOUNT";"TOTALTAXAMOUNT";"TOTALCHARGEAMOUNT";"INVOICECUSTOMERACCOUNTNUMBER";"INVOICEADDRESSCITY";"WAREHOUSE"
FCB-06227-00030013;2024-02-16 00:00:00.000;58499.35;10152.78;0.0;CL-0015697;BOULOGNE;"014"
FCB-06227-00030014;2024-02-16 00:00:00.000;81599.4;14161.88;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030015;2024-02-16 00:00:00.000;52999.0;9198.17;0.0;CL-2788971;"";"014"
FCB-06227-00030016;2024-02-16 00:00:00.000;67398.0;11697.17;0.0;CL-1153897;"";"014"
FCB-06227-00030017;2024-02-16 00:00:00.000;8199.0;1422.97;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030018;2024-02-16 00:00:00.000;142999.0;24818.01;0.0;CL-2789209;"";"014"
FCB-06227-00030019;2024-02-16 00:00:00.000;47382.82;8223.46;6102.33;CL-1805677;"";"014"
FCB-06227-00030020;2024-02-16 00:00:00.000;162897.0;28271.38;0.0;CL-0948525;"";"014"
FCB-06227-00030021;2024-02-16 00:00:00.000;61099.0;10603.96;0.0;CL-2222607;"";"014"
FCB-06227-00030022;2024-02-16 00:00:00.000;229497.35;39830.12;0.0;CL-2729441;"";"014"
FCB-06227-00030023;2024-02-16 00:00:00.000;61099.0;10603.96;0.0;CL-2789912;"";"014"
FCB-06227-00030024;2024-02-16 00:00:00.000;99999.0;17355.2;0.0;CL-0942502;"";"014"
FCB-06227-00030025;2024-02-16 00:00:00.000;15398.0;2672.38;0.0;CL-0942502;"";"014"
FCB-06227-00030026;2024-02-16 00:00:00.000;57099.0;9909.74;0.0;CL-2789965;"";"014"
FCB-06227-00030027;2024-02-16 00:00:00.000;0.0;0.0;0.0;CL-9999999;Tigre;"014"
FCB-06227-00030028;2024-02-16 00:00:00.000;69999.0;12148.59;0.0;CL-2530134;"";"014"
FCB-06227-00030029;2024-02-16 00:00:00.000;49999.0;8677.51;0.0;CL-2790021;"";"014"
FCB-06227-00030030;2024-02-16 00:00:00.000;50030.0;8682.89;0.0;CL-0877902;"";"014"
