"INVOICENUMBER";"PRODUCTNUMBER";"PRODUCTDESCRIPTION";"INVOICEDQUANTITY";"SALESPRICE";"LINEAMOUNT";"LINETOTALTAXAMOUNT";"LINETOTALDISCOUNTAMOUNT";"LINETOTALCHARGEAMOUNT"
FCB-06262-00033928;TO163518_M_1;"Short Topper Zeal II
El Short Topper Zeal es ideal para acompañarte en cada carrera. Diseñado para el running pero adaptable a cualquier disciplina, incluye dos bolsillos laterales y uno trasero. Su detalle reflectivo en el centro trasero te hace visible en zonas de poca luz";1.0;31599.0;26114.87;5484.13;0.0;0.0
FCB-06262-00033928;PU907374-26_28-34_1;"Pack De Medias Puma Invisible
Pack De Medias Puma I";1.0;6299.0;5205.79;1093.21;0.0;0.0
FCB-06260-00019059;LONISS230083_XXL_1;"Remera Lotto Smart
Remera Lotto Smart";1.0;12999.0;10742.98;2256.02;0.0;0.0
FCB-06260-00019059;LONISS230092_XXXL_1;"Pantalon Lotto Smart Classic
Pantalon Lotto Smart Classic";1.0;31999.0;26445.45;5553.55;0.0;0.0
FCB-06228-00025872;TO29448_42_1;Zapatillas Topper Split;1.0;60099.0;49668.6;10430.4;0.0;0.0
FCB-06408-00018619;LONC2133861CL_41_1;Devolucion;-1.0;20999.0;-17354.55;-3644.45;0.0;0.0
FCB-06408-00018619;FIF01SD00007-180_43_1;"Ojotas Fila Drifter Stripes
Ojotas Fila Drifter Stripes";1.0;32999.0;27271.91;5727.09;0.0;0.0
FCB-06382-00013193;HV41470632197_41/42_1;Ojotas Havaianas Top Logomania Mid Tech;1.0;12799.0;10577.69;2221.31;0.0;0.0
FCB-06382-00013193;LONASS23903_35-40_1;"Pack De Medias Lotto Flow
Pack De Medias Lotto Flow";1.0;3799.0;3139.67;659.33;0.0;0.0
FCB-05028-00001086;InFin;"Intereses Financieros
Intereses punitorios";1.0;8119.86;6710.63;1409.23;0.0;0.0
FCB-05028-00001086;SegVida;"Seguro de vida
Para conceptos de seguro de vida";1.0;2319.96;1917.32;402.64;0.0;0.0
